Name,Year,Delivery,Affiliation,PCA1,PCA2,PCA3,Length
  George Washington,1790,s,I,-0.015738804206466405,-0.0560675851259051,-0.014899734154061131,1104
  George Washington,1790,s,I,-0.01902603660387852,-0.038151235817430455,-0.005761175634924912,1422
  George Washington,1791,s,I,-0.022094203519954718,-0.04283726624199433,-0.006574149720438453,2340
  George Washington,1792,s,I,-0.027669778818255813,-0.0366364432387936,-0.0066831154667475025,2132
  George Washington,1793,s,I,-0.01124413628529509,-0.03670320950310413,-0.013692004315685912,1991
  George Washington,1794,s,I,-0.019709767496659064,-0.03176483719678016,-0.010160140626448424,2947
  George Washington,1795,s,I,-0.016670987138737534,-0.03324615227792069,0.0020755777166541556,2013
  George Washington,1796,s,I,-0.015790759290952763,-0.041669609946975765,-0.012332056698196567,2905
  John Adams,1797,s,F,-0.010577515924202335,-0.038688295906813865,-0.007130391419347348,2081
  John Adams,1798,s,F,-0.012525292257063211,-0.03128650028224578,-0.0021187765879364297,2246
  John Adams,1799,s,F,-0.01859962248916449,-0.028210561461800232,-0.006842461432307669,1521
  John Adams,1800,s,F,-0.01056993811552914,-0.03292211555444679,-0.019644963875260362,1393
  Thomas Jefferson,1801,w,DR,-0.030002694193096886,-0.03384716772384748,0.0024312196488191305,3257
  Thomas Jefferson,1802,w,DR,-0.0157478121743949,-0.01855003124617966,-0.005249636846398152,2221
  Thomas Jefferson,1803,w,DR,-0.010218660525161603,-0.027768217841970238,-0.003261987336296505,2301
  Thomas Jefferson,1804,w,DR,-0.013772694785652791,-0.03477556725901956,-0.003404663707289815,2123
  Thomas Jefferson,1805,w,DR,-0.010941524054769388,-0.04019277243062618,-0.0006235894773618349,2970
  Thomas Jefferson,1806,w,DR,-0.004035334720215581,-0.02588356124922383,-0.004728807793368302,2895
  Thomas Jefferson,1807,w,DR,-0.020185955926154235,-0.04090179584680409,-0.01535894226297944,2417
  Thomas Jefferson,1808,w,DR,-0.016457505039859648,-0.04719855703340044,-0.009450714918961831,2711
  James Madison,1809,w,DR,-0.018674602007088193,-0.03859920974161797,-0.011465816501838776,1849
  James Madison,1810,w,DR,-0.018920811076055654,-0.04258820733090061,-0.010766141341240258,2473
  James Madison,1811,w,DR,-0.005500166733672275,-0.04427428559369367,-0.007995753273859816,2303
  James Madison,1812,w,DR,-0.017100616159433885,-0.033321134482914024,-0.0020543958668337017,3278
  James Madison,1813,w,DR,-0.017942461392547373,-0.024638426715943938,-0.001023807282856573,3297
  James Madison,1814,w,DR,-0.013279863333108528,-0.036928582400243375,0.005503920004443599,2138
  James Madison,1815,w,DR,-0.013713046158279809,-0.04419946224401194,-0.010428554839502903,3184
  James Madison,1816,w,DR,-0.016249989623581353,-0.03925334991114278,-0.0016563358500228933,3397
  James Monroe,1817,w,DR,-0.010691263347985081,-0.03326168847587394,-0.0056867579948244994,4471
  James Monroe,1818,w,DR,-0.00711790811775611,-0.04108008461533873,-0.012773733518150816,4420
  James Monroe,1819,w,DR,-0.019045308209313903,-0.03918389116738545,-0.006454578351944985,4758
  James Monroe,1820,w,DR,-0.007536004851182394,-0.037980175805622456,-0.01781174330922785,3475
  James Monroe,1821,w,DR,-0.015032935644023027,-0.04780200830079895,-0.012060914056399238,5875
  James Monroe,1822,w,DR,-0.015236041049539168,-0.042622150967864064,-0.0024849377642625686,4777
  James Monroe,1823,w,DR,-0.02144631769955209,-0.04410905535189119,-0.010559225530496963,6453
  James Monroe,1824,w,DR,-0.023496769750825715,-0.04102049314109294,-0.009546037138048582,8499
  John Quincy Adams,1825,w,DR,-0.025838196966440238,-0.049837358613247416,-0.008367183250148142,9068
  John Quincy Adams,1826,w,DR,-0.021698538169189385,-0.0501530483067858,-0.009214650470942295,7802
  John Quincy Adams,1827,w,DR,-0.021126006059113796,-0.052894157291667666,-0.005479732636345298,7043
  John Quincy Adams,1828,w,DR,-0.023771300123676894,-0.048593818994653884,-0.0025082240611970213,7376
  Andrew Jackson,1829,w,D,-0.023964298157576305,-0.04530626693515851,-0.00451450249122553,10608
  Andrew Jackson,1830,w,D,-0.018151643199402972,-0.05038613806895298,-0.010620163887993271,15202
  Andrew Jackson,1831,w,D,-0.020385479363965616,-0.032465340020742674,-0.007908489024254874,7246
  Andrew Jackson,1832,w,D,-0.022620330406585655,-0.05094602898193852,-0.00831609906748352,7942
  Andrew Jackson,1833,w,D,-0.02192720135623791,-0.047508657398272786,-0.00289257280189437,7970
  Andrew Jackson,1834,w,D,-0.021241953450671116,-0.050460110102701135,-0.006365928096624401,13557
  Andrew Jackson,1835,w,D,-0.02313773547536579,-0.0496418770380155,-0.01070078273112812,10895
  Andrew Jackson,1836,w,D,-0.022445550297179512,-0.04584875740878876,-0.003664460197476633,12461
  Martin van Buren,1837,w,D,-0.02155739207778033,-0.04427152652933104,-0.0043250291326018975,11513
  Martin van Buren,1838,w,D,-0.021410237648643655,-0.05317446026823137,-0.006248129320535438,11552
  Martin van Buren,1839,w,D,-0.024291870597630223,-0.04293210853826672,-0.003817739772052461,13497
